23:04:53.048 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.048 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED true value = 2281
23:04:53.048 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2281is prime but doesn't exist in Fibonacci Series.
23:04:53.048 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2282Size of Array = 10000
23:04:53.095 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.095 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2282
23:04:53.095 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2282is not prime but doesn't exist in Fibonacci Series.
23:04:53.095 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2283Size of Array = 10000
23:04:53.141 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.141 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2283
23:04:53.141 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2283is not prime but doesn't exist in Fibonacci Series.
23:04:53.141 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2284Size of Array = 10000
23:04:53.183 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.184 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2284
23:04:53.184 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2284is not prime but doesn't exist in Fibonacci Series.
23:04:53.184 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2285Size of Array = 10000
23:04:53.226 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.226 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2285
23:04:53.226 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2285is not prime but doesn't exist in Fibonacci Series.
23:04:53.226 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2286Size of Array = 10000
23:04:53.275 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.275 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2286
23:04:53.275 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2286is not prime but doesn't exist in Fibonacci Series.
23:04:53.275 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2287Size of Array = 10000
23:04:53.318 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.318 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED true value = 2287
23:04:53.318 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2287is prime but doesn't exist in Fibonacci Series.
23:04:53.318 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2288Size of Array = 10000
23:04:53.365 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.365 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2288
23:04:53.365 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2288is not prime but doesn't exist in Fibonacci Series.
23:04:53.365 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2289Size of Array = 10000
23:04:53.405 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.405 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2289
23:04:53.405 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2289is not prime but doesn't exist in Fibonacci Series.
23:04:53.405 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2290Size of Array = 10000
23:04:53.448 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.448 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2290
23:04:53.448 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2290is not prime but doesn't exist in Fibonacci Series.
23:04:53.448 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2291Size of Array = 10000
23:04:53.491 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.491 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2291
23:04:53.491 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2291is not prime but doesn't exist in Fibonacci Series.
23:04:53.491 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2292Size of Array = 10000
23:04:53.537 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.537 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2292
23:04:53.537 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2292is not prime but doesn't exist in Fibonacci Series.
23:04:53.537 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2293Size of Array = 10000
23:04:53.585 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.585 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED true value = 2293
23:04:53.585 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2293is prime but doesn't exist in Fibonacci Series.
23:04:53.585 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2294Size of Array = 10000
23:04:53.627 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.627 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2294
23:04:53.627 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2294is not prime but doesn't exist in Fibonacci Series.
23:04:53.627 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2295Size of Array = 10000
23:04:53.669 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.669 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2295
23:04:53.669 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2295is not prime but doesn't exist in Fibonacci Series.
23:04:53.669 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2296Size of Array = 10000
23:04:53.709 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.709 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2296
23:04:53.709 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2296is not prime but doesn't exist in Fibonacci Series.
23:04:53.709 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2297Size of Array = 10000
23:04:53.750 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.750 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED true value = 2297
23:04:53.750 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2297is prime but doesn't exist in Fibonacci Series.
23:04:53.750 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2298Size of Array = 10000
23:04:53.791 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.791 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2298
23:04:53.791 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2298is not prime but doesn't exist in Fibonacci Series.
23:04:53.791 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2299Size of Array = 10000
23:04:53.835 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.835 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2299
23:04:53.835 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2299is not prime but doesn't exist in Fibonacci Series.
23:04:53.835 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2300Size of Array = 10000
23:04:53.880 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.880 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2300
23:04:53.880 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2300is not prime but doesn't exist in Fibonacci Series.
23:04:53.880 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2301Size of Array = 10000
23:04:53.934 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.934 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2301
23:04:53.934 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2301is not prime but doesn't exist in Fibonacci Series.
23:04:53.934 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2302Size of Array = 10000
23:04:53.972 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:53.972 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2302
23:04:53.972 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2302is not prime but doesn't exist in Fibonacci Series.
23:04:53.972 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2303Size of Array = 10000
23:04:54.038 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:54.038 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2303
23:04:54.038 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2303is not prime but doesn't exist in Fibonacci Series.
23:04:54.038 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2304Size of Array = 10000
23:04:54.075 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:54.075 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2304
23:04:54.075 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2304is not prime but doesn't exist in Fibonacci Series.
23:04:54.075 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2305Size of Array = 10000
23:04:54.167 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:54.167 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2305
23:04:54.167 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2305is not prime but doesn't exist in Fibonacci Series.
23:04:54.167 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2306Size of Array = 10000
23:04:54.209 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:54.209 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2306
23:04:54.209 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2306is not prime but doesn't exist in Fibonacci Series.
23:04:54.209 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2307Size of Array = 10000
